week_start,geo,device,channel,campaign,impressions,clicks,sessions,add_to_cart,begin_checkout,purchases,revenue,spend,platform_roas_reported,last_click_roas,position_based_roas,time_decay_roas,shipping_issue_rate,bot_rate,ghost_impressions,holdout_flag
2023-10-02,LU-LUX,Desktop,Paid Social,Prospecting-Video,33173,413,454,127,71,1,86.84,153.89,0.87,0.56,0.57,0.47,0.037,0.082,12880,0
2023-10-02,LU-LUX,Desktop,Organic,SEO-Core,389,13,191,53,31,0,0.0,0.0,0.0,0.0,0.0,0.0,0.165,0.023,0,0
2023-10-02,LU-LUX,Desktop,Direct,Direct,949,34,262,59,40,1,81.22,0.0,0.0,0.0,0.0,0.0,0.108,0.024,0,0
2023-10-02,LU-LUX,Desktop,Email/SMS,Lifecycle-Welcome,1137,59,91,20,14,0,0.0,30.24,0.0,0.0,0.0,0.0,0.034,0.046,0,0
2023-10-02,LU-LUX,Desktop,Affiliate,Aff-NetB,7018,135,146,38,27,0,0.0,0.0,0.0,0.0,0.0,0.0,0.057,0.036,0,0
2023-10-02,LU-LUX,Desktop,Referral,ReferAFriend,292,9,70,13,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.143,0.025,0,0
2023-10-09,NL-NH,Mobile,Paid Search,NonBrand-Decor,28690,940,1055,293,212,6,444.21,513.92,1.17,0.86,0.86,0.84,0.234,0.03,11332,0
2023-10-09,NL-NH,Mobile,Paid Social,Retargeting-Catalog,46964,612,644,157,109,1,72.39,207.89,0.54,0.35,0.31,0.29,0.018,0.068,14120,0
2023-10-09,NL-NH,Mobile,Organic,SEO-Core,3765,60,715,141,87,2,154.64,0.0,0.0,0.0,0.0,0.0,0.094,0.023,0,0
2023-10-09,NL-NH,Mobile,Direct,Direct,1705,78,537,118,85,2,154.69,0.0,0.0,0.0,0.0,0.0,0.023,0.033,0,0
2023-10-09,NL-NH,Mobile,Email/SMS,Lifecycle-Welcome,2062,88,165,30,22,0,0.0,81.92,0.0,0.0,0.0,0.0,0.231,0.046,0,0
2023-10-09,NL-NH,Mobile,Affiliate,Aff-NetB,13630,242,227,59,44,0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.029,0,0
2023-10-09,NL-NH,Mobile,Referral,ReferAFriend,476,16,144,40,22,0,0.0,0.0,0.0,0.0,0.0,0.0,0.242,0.037,0,0
2023-10-09,NL-NH,Desktop,Paid Search,Brand-Core,19933,598,747,145,108,3,233.02,351.72,0.89,0.66,0.66,0.64,0.024,0.02,8638,0
2023-10-09,NL-NH,Desktop,Paid Social,Retargeting-Catalog,51886,601,631,152,103,1,76.01,193.27,0.61,0.39,0.37,0.34,0.117,0.047,22444,0
2023-10-09,NL-NH,Desktop,Organic,SEO-Core,1283,28,522,123,70,2,156.62,0.0,0.0,0.0,0.0,0.0,0.184,0.028,0,0
2023-10-09,NL-NH,Desktop,Direct,Direct,2713,36,526,147,104,3,227.71,0.0,0.0,0.0,0.0,0.0,0.108,0.036,0,0
2023-10-09,NL-NH,Desktop,Email/SMS,Lifecycle-Reactivation,1300,52,104,24,13,0,0.0,85.23,0.0,0.0,0.0,0.0,0.065,0.038,0,0
2023-10-09,NL-NH,Desktop,Affiliate,Aff-NetA,9989,176,217,57,34,0,0.0,0.0,0.0,0.0,0.0,0.0,0.043,0.024,0,0
2023-10-09,NL-NH,Desktop,Referral,ReferAFriend,274,13,116,26,19,0,0.0,0.0,0.0,0.0,0.0,0.0,0.016,0.052,0,0
2023-10-09,NL-ZH,Mobile,Paid Search,Brand-Core,26394,811,871,188,138,4,291.98,535.0,0.74,0.55,0.47,0.44,0.062,0.023,7060,0
2023-10-09,NL-ZH,Mobile,Paid Social,Prospecting-Video,48457,577,639,126,80,1,72.45,189.89,0.59,0.38,0.39,0.29,0.128,0.06,12472,0
2023-10-09,NL-ZH,Mobile,Organic,SEO-Core,1257,53,559,100,74,1,71.17,0.0,0.0,0.0,0.0,0.0,0.105,0.043,0,0
2023-10-09,NL-ZH,Mobile,Direct,Direct,2592,63,637,149,110,3,220.09,0.0,0.0,0.0,0.0,0.0,0.118,0.036,0,0
2023-10-09,NL-ZH,Mobile,Email/SMS,Lifecycle-Reactivation,1812,104,145,36,24,0,0.0,71.42,0.0,0.0,0.0,0.0,0.188,0.025,0,0
2023-10-09,NL-ZH,Mobile,Affiliate,Aff-NetB,18158,344,389,95,54,1,69.95,0.0,0.0,0.0,0.0,0.0,0.008,0.041,0,0
2023-10-09,NL-ZH,Mobile,Referral,ReferAFriend,838,39,165,46,30,1,73.27,0.0,0.0,0.0,0.0,0.0,0.04,0.031,0,0
2023-10-09,NL-ZH,Desktop,Paid Search,NonBrand-Decor,18698,637,606,138,80,2,140.04,418.56,0.45,0.33,0.32,0.25,0.106,0.029,6179,0
2023-10-09,NL-ZH,Desktop,Paid Social,Prospecting-Video,32545,409,419,86,47,0,0.0,135.92,0.0,0.0,0.0,0.0,0.111,0.055,15854,0
2023-10-09,NL-ZH,Desktop,Organic,SEO-Core,1378,64,378,89,65,1,72.08,0.0,0.0,0.0,0.0,0.0,0.02,0.034,0,0
2023-10-09,NL-ZH,Desktop,Direct,Direct,1789,74,426,109,69,2,150.81,0.0,0.0,0.0,0.0,0.0,0.037,0.01,0,0
2023-10-09,NL-ZH,Desktop,Email/SMS,Lifecycle-Welcome,2237,115,179,43,27,1,71.54,62.79,1.14,1.14,1.02,0.88,0.077,0.042,0,0
2023-10-09,NL-ZH,Desktop,Affiliate,Aff-NetB,14574,252,233,47,29,0,0.0,0.0,0.0,0.0,0.0,0.0,0.038,0.031,0,0
2023-10-09,NL-ZH,Desktop,Referral,ReferAFriend,628,19,114,26,17,0,0.0,0.0,0.0,0.0,0.0,0.0,0.106,0.043,0,0
2023-10-09,BE-BRU,Mobile,Paid Search,Brand-Core,21619,755,690,132,75,2,143.23,492.62,0.39,0.29,0.3,0.24,0.178,0.037,9762,0
2023-10-09,BE-BRU,Mobile,Paid Social,Retargeting-Catalog,33857,437,498,89,53,0,0.0,149.56,0.0,0.0,0.0,0.0,0.028,0.066,9044,0
2023-10-09,BE-BRU,Mobile,Organic,SEO-Core,1100,39,439,113,84,2,134.89,0.0,0.0,0.0,0.0,0.0,0.093,0.021,0,0
2023-10-09,BE-BRU,Mobile,Direct,Direct,2384,66,435,80,58,2,133.7,0.0,0.0,0.0,0.0,0.0,0.008,0.01,0,0
2023-10-09,BE-BRU,Mobile,Email/SMS,Lifecycle-Welcome,2462,122,197,51,31,1,67.17,70.48,0.95,0.95,0.98,0.91,0.018,0.045,0,0
2023-10-09,BE-BRU,Mobile,Affiliate,Aff-NetB,13384,230,250,70,51,1,69.87,0.0,0.0,0.0,0.0,0.0,0.097,0.026,0,0
2023-10-09,BE-BRU,Mobile,Referral,ReferAFriend,229,12,97,18,13,0,0.0,0.0,0.0,0.0,0.0,0.0,0.137,0.034,0,0
2023-10-09,BE-BRU,Desktop,Paid Search,Brand-Core,14242,483,567,161,101,2,131.46,308.95,0.57,0.43,0.37,0.32,0.186,0.048,3596,0
2023-10-09,BE-BRU,Desktop,Paid Social,Prospecting-Video,30881,365,434,130,76,1,71.99,128.35,0.87,0.56,0.57,0.48,0.041,0.066,8365,0
2023-10-09,BE-BRU,Desktop,Organic,SEO-Core,1084,78,341,81,54,1,70.07,0.0,0.0,0.0,0.0,0.0,0.026,0.028,0,0
2023-10-09,BE-BRU,Desktop,Direct,Direct,820,40,305,76,55,1,65.7,0.0,0.0,0.0,0.0,0.0,0.153,0.027,0,0
2023-10-09,BE-BRU,Desktop,Email/SMS,Lifecycle-Welcome,2112,100,169,37,26,1,71.3,59.21,1.2,1.2,1.12,0.98,0.093,0.043,0,0
2023-10-09,BE-BRU,Desktop,Affiliate,Aff-NetA,7901,149,172,39,24,0,0.0,0.0,0.0,0.0,0.0,0.0,0.061,0.032,0,0
2023-10-09,BE-BRU,Desktop,Referral,ReferAFriend,231,12,72,19,10,0,0.0,0.0,0.0,0.0,0.0,0.0,0.041,0.04,0,0
2023-10-09,LU-LUX,Mobile,Paid Search,Brand-Core,16754,512,620,167,106,3,262.39,328.06,1.08,0.8,0.84,0.65,0.028,0.038,8134,0
2023-10-09,LU-LUX,Mobile,Paid Social,Retargeting-Catalog,42541,533,558,98,59,1,81.08,185.64,0.68,0.44,0.38,0.43,0.024,0.05,18259,0
2023-10-09,LU-LUX,Mobile,Organic,SEO-Core,2522,109,506,94,54,1,82.16,0.0,0.0,0.0,0.0,0.0,0.047,0.033,0,0
2023-10-09,LU-LUX,Mobile,Direct,Direct,1914,54,412,109,65,1,85.04,0.0,0.0,0.0,0.0,0.0,0.071,0.021,0,0
2023-10-09,LU-LUX,Mobile,Email/SMS,Lifecycle-Reactivation,1412,64,113,22,12,0,0.0,43.71,0.0,0.0,0.0,0.0,0.086,0.032,0,0
2023-10-09,LU-LUX,Mobile,Affiliate,Aff-NetB,9660,190,203,47,28,0,0.0,0.0,0.0,0.0,0.0,0.0,0.127,0.041,0,0
2023-10-09,LU-LUX,Mobile,Referral,ReferAFriend,602,5,107,19,12,0,0.0,0.0,0.0,0.0,0.0,0.0,0.074,0.012,0,0
2023-10-09,LU-LUX,Desktop,Paid Search,Brand-Core,13803,424,481,106,69,2,167.88,239.05,0.95,0.7,0.69,0.59,0.095,0.024,4688,0
2023-10-09,LU-LUX,Desktop,Paid Social,Prospecting-Video,42400,509,560,150,99,1,82.04,176.85,0.72,0.46,0.45,0.42,0.067,0.062,18584,0
2023-10-09,LU-LUX,Desktop,Organic,SEO-Core,878,70,296,88,64,1,82.25,0.0,0.0,0.0,0.0,0.0,0.042,0.031,0,0
2023-10-09,LU-LUX,Desktop,Direct,Direct,746,41,300,69,41,1,87.3,0.0,0.0,0.0,0.0,0.0,0.077,0.026,0,0
2023-10-09,LU-LUX,Desktop,Email/SMS,Lifecycle-Welcome,1387,68,111,29,18,0,0.0,53.69,0.0,0.0,0.0,0.0,0.129,0.022,0,0
2023-10-09,LU-LUX,Desktop,Affiliate,Aff-NetA,6283,112,139,33,22,0,0.0,0.0,0.0,0.0,0.0,0.0,0.067,0.024,0,0
2023-10-09,LU-LUX,Desktop,Referral,ReferAFriend,490,6,87,17,12,0,0.0,0.0,0.0,0.0,0.0,0.0,0.052,0.053,0,0
2023-10-16,NL-NH,Mobile,Paid Search,NonBrand-Home,28054,846,948,256,190,6,449.35,468.82,1.29,0.96,0.87,0.81,0.156,0.022,11696,0
2023-10-16,NL-NH,Mobile,Paid Social,Retargeting-Catalog,55131,649,628,150,103,1,76.18,217.61,0.54,0.35,0.33,0.28,0.119,0.066,13070,0
2023-10-16,NL-NH,Mobile,Organic,SEO-Core,2084,128,662,150,98,3,233.28,0.0,0.0,0.0,0.0,0.0,0.073,0.033,0,0
2023-10-16,NL-NH,Mobile,Direct,Direct,2142,54,404,84,62,2,148.73,0.0,0.0,0.0,0.0,0.0,0.235,0.033,0,0
2023-10-16,NL-NH,Mobile,Email/SMS,Lifecycle-Welcome,2550,132,204,54,33,1,73.05,54.06,1.35,1.35,1.19,1.13,0.064,0.039,0,0
2023-10-16,NL-NH,Mobile,Affiliate,Aff-NetB,16601,303,354,83,57,1,73.29,0.0,0.0,0.0,0.0,0.0,0.098,0.046,0,0
2023-10-16,NL-NH,Mobile,Referral,ReferAFriend,289,11,140,29,18,0,0.0,0.0,0.0,0.0,0.0,0.0,0.183,0.03,0,0
2023-10-16,NL-NH,Desktop,Paid Search,NonBrand-Decor,14932,489,517,110,77,2,153.74,286.1,0.73,0.54,0.49,0.47,0.008,0.034,6545,0
2023-10-16,NL-NH,Desktop,Paid Social,Prospecting-Video,53046,682,787,216,127,2,144.26,253.93,0.88,0.57,0.56,0.55,0.066,0.059,12206,0
2023-10-16,NL-NH,Desktop,Organic,SEO-Core,2208,91,468,142,81,2,152.16,0.0,0.0,0.0,0.0,0.0,0.088,0.016,0,0
2023-10-16,NL-NH,Desktop,Direct,Direct,894,69,282,53,39,1,73.15,0.0,0.0,0.0,0.0,0.0,0.325,0.041,0,0
2023-10-16,NL-NH,Desktop,Email/SMS,Lifecycle-Welcome,2187,92,175,34,22,0,0.0,87.27,0.0,0.0,0.0,0.0,0.055,0.036,0,0
2023-10-16,NL-NH,Desktop,Affiliate,Aff-NetA,11272,188,216,52,38,0,0.0,0.0,0.0,0.0,0.0,0.0,0.104,0.029,0,0
2023-10-16,NL-NH,Desktop,Referral,ReferAFriend,644,8,115,23,15,0,0.0,0.0,0.0,0.0,0.0,0.0,0.201,0.019,0,0
2023-10-16,NL-ZH,Mobile,Paid Search,NonBrand-Decor,30434,1058,954,228,167,4,305.14,659.26,0.62,0.46,0.4,0.39,0.039,0.02,8455,0
2023-10-16,NL-ZH,Mobile,Paid Social,Prospecting-Video,41441,503,536,124,92,1,73.02,162.72,0.7,0.45,0.46,0.37,0.152,0.044,13980,0
2023-10-16,NL-ZH,Mobile,Organic,SEO-Core,2683,137,589,114,83,2,142.44,0.0,0.0,0.0,0.0,0.0,0.144,0.03,0,0
2023-10-16,NL-ZH,Mobile,Direct,Direct,1223,69,489,112,80,2,149.05,0.0,0.0,0.0,0.0,0.0,0.142,0.05,0,0
2023-10-16,NL-ZH,Mobile,Email/SMS,Lifecycle-Welcome,2075,90,166,33,20,0,0.0,57.15,0.0,0.0,0.0,0.0,0.16,0.027,0,0
2023-10-16,NL-ZH,Mobile,Affiliate,Aff-NetB,11471,189,214,38,25,0,0.0,0.0,0.0,0.0,0.0,0.0,0.078,0.027,0,0
2023-10-16,NL-ZH,Mobile,Referral,ReferAFriend,346,32,166,32,22,0,0.0,0.0,0.0,0.0,0.0,0.0,0.124,0.037,0,0
2023-10-16,NL-ZH,Desktop,Paid Search,Brand-Core,18054,527,680,188,133,4,287.48,329.07,1.18,0.87,0.85,0.82,0.158,0.043,6786,0
2023-10-16,NL-ZH,Desktop,Paid Social,Prospecting-Video,37182,459,504,130,77,1,72.98,167.2,0.68,0.44,0.45,0.42,0.052,0.072,17950,0
2023-10-16,NL-ZH,Desktop,Organic,SEO-Core,2761,55,466,116,75,1,73.18,0.0,0.0,0.0,0.0,0.0,0.148,0.042,0,0
2023-10-16,NL-ZH,Desktop,Direct,Direct,1663,69,398,98,70,2,148.87,0.0,0.0,0.0,0.0,0.0,0.031,0.03,0,0
2023-10-16,NL-ZH,Desktop,Email/SMS,Lifecycle-Welcome,1775,95,142,27,18,0,0.0,70.66,0.0,0.0,0.0,0.0,0.106,0.011,0,0
2023-10-16,NL-ZH,Desktop,Affiliate,Aff-NetB,11251,186,187,41,26,0,0.0,0.0,0.0,0.0,0.0,0.0,0.074,0.031,0,0
2023-10-16,NL-ZH,Desktop,Referral,ReferAFriend,363,24,107,31,20,0,0.0,0.0,0.0,0.0,0.0,0.0,0.019,0.03,0,0
2023-10-16,BE-BRU,Mobile,Paid Search,NonBrand-Home,20261,698,798,192,126,3,198.51,432.62,0.62,0.46,0.46,0.36,0.116,0.023,9895,0
2023-10-16,BE-BRU,Mobile,Paid Social,Retargeting-Catalog,44498,529,545,153,99,1,73.04,181.33,0.62,0.4,0.36,0.38,0.078,0.048,21425,0
2023-10-16,BE-BRU,Mobile,Organic,SEO-Core,3295,55,601,106,63,1,71.98,0.0,0.0,0.0,0.0,0.0,0.188,0.032,0,0
2023-10-16,BE-BRU,Mobile,Direct,Direct,2641,51,496,113,75,2,143.83,0.0,0.0,0.0,0.0,0.0,0.189,0.043,0,0
2023-10-16,BE-BRU,Mobile,Email/SMS,Lifecycle-Welcome,1937,98,155,31,17,0,0.0,45.95,0.0,0.0,0.0,0.0,0.163,0.027,0,0
2023-10-16,BE-BRU,Mobile,Affiliate,Aff-NetA,11301,201,238,62,45,0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.033,0,0
2023-10-16,BE-BRU,Mobile,Referral,ReferAFriend,483,17,136,36,24,0,0.0,0.0,0.0,0.0,0.0,0.0,0.069,0.016,0,0
2023-10-16,BE-BRU,Desktop,Paid Search,NonBrand-Home,15890,490,609,189,114,3,211.95,308.57,0.93,0.69,0.64,0.58,0.116,0.041,6302,0
2023-10-16,BE-BRU,Desktop,Paid Social,Prospecting-Video,51529,604,601,149,111,2,143.96,199.73,1.12,0.72,0.73,0.65,0.079,0.053,20263,0
2023-10-16,BE-BRU,Desktop,Organic,SEO-Core,1387,84,359,82,49,1,69.26,0.0,0.0,0.0,0.0,0.0,0.039,0.04,0,0
2023-10-16,BE-BRU,Desktop,Direct,Direct,1906,76,368,106,76,2,146.21,0.0,0.0,0.0,0.0,0.0,0.033,0.046,0,0
2023-10-16,BE-BRU,Desktop,Email/SMS,Lifecycle-Welcome,1512,70,121,25,16,0,0.0,59.71,0.0,0.0,0.0,0.0,0.085,0.026,0,0
2023-10-16,BE-BRU,Desktop,Affiliate,Aff-NetA,7233,132,153,30,21,0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.018,0,0
2023-10-16,BE-BRU,Desktop,Referral,ReferAFriend,420,10,101,20,14,0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.028,0,0
2023-10-16,LU-LUX,Mobile,Paid Search,NonBrand-Home,20881,730,808,211,129,3,261.78,464.3,0.76,0.56,0.52,0.51,0.031,0.023,7777,0
2023-10-16,LU-LUX,Mobile,Paid Social,Retargeting-Catalog,28933,316,404,94,68,1,83.82,101.99,1.27,0.82,0.82,0.7,0.027,0.056,14101,0
2023-10-16,LU-LUX,Mobile,Organic,SEO-Core,2415,96,503,104,74,2,174.91,0.0,0.0,0.0,0.0,0.0,0.044,0.019,0,0
2023-10-16,LU-LUX,Mobile,Direct,Direct,832,21,298,62,45,1,86.72,0.0,0.0,0.0,0.0,0.0,0.043,0.04,0,0
2023-10-16,LU-LUX,Mobile,Email/SMS,Lifecycle-Welcome,2162,91,173,34,21,0,0.0,82.29,0.0,0.0,0.0,0.0,0.114,0.055,0,0
2023-10-16,LU-LUX,Mobile,Affiliate,Aff-NetA,12779,222,221,41,30,0,0.0,0.0,0.0,0.0,0.0,0.0,0.041,0.037,0,0
2023-10-16,LU-LUX,Mobile,Referral,ReferAFriend,610,17,102,22,15,0,0.0,0.0,0.0,0.0,0.0,0.0,0.088,0.028,0,0
2023-10-16,LU-LUX,Desktop,Paid Search,NonBrand-Home,15561,496,535,147,97,2,174.1,310.32,0.76,0.56,0.57,0.47,0.027,0.029,4529,0
2023-10-16,LU-LUX,Desktop,Paid Social,Retargeting-Catalog,30584,361,354,90,56,1,85.12,124.5,1.06,0.68,0.71,0.59,0.034,0.071,13424,0
2023-10-16,LU-LUX,Desktop,Organic,SEO-Core,795,67,322,67,39,1,85.71,0.0,0.0,0.0,0.0,0.0,0.134,0.035,0,0
2023-10-16,LU-LUX,Desktop,Direct,Direct,1357,51,233,47,32,1,80.51,0.0,0.0,0.0,0.0,0.0,0.195,0.011,0,0
2023-10-16,LU-LUX,Desktop,Email/SMS,Lifecycle-Reactivation,1812,73,145,38,27,1,81.06,80.16,1.01,1.01,0.99,1.0,0.074,0.032,0,0
2023-10-16,LU-LUX,Desktop,Affiliate,Aff-NetA,7661,128,149,40,28,0,0.0,0.0,0.0,0.0,0.0,0.0,0.067,0.051,0,0
2023-10-16,LU-LUX,Desktop,Referral,ReferAFriend,335,4,89,18,13,0,0.0,0.0,0.0,0.0,0.0,0.0,0.048,0.023,0,0
2023-10-23,NL-NH,Mobile,Paid Search,NonBrand-Home,18980,631,650,141,84,2,150.17,366.56,0.55,0.41,0.38,0.39,0.137,0.052,7653,0
